,open,high,low,close,volume,timestamp
42119,165.391,165.43,165.33,165.39,49484.0,2018-02-14 11:56:00
42120,165.398,165.435,165.31099999999995,165.35,49590.0,2018-02-14 11:57:00
42121,165.36,165.38,165.22,165.265,56116.0,2018-02-14 11:58:00
42122,165.26,165.31,165.22,165.2375,46264.0,2018-02-14 11:59:00
42123,165.24,165.26,165.19,165.192,39628.0,2018-02-14 12:00:00
42124,165.201,165.27,165.16,165.24,52404.0,2018-02-14 12:01:00
42125,165.24,165.4252,165.23,165.4252,38198.0,2018-02-14 12:02:00
42126,165.43,165.45,165.36,165.44,44636.0,2018-02-14 12:03:00
42127,165.44,165.445,165.36,165.385,27440.0,2018-02-14 12:04:00
42128,165.37,165.46,165.33,165.46,60166.0,2018-02-14 12:05:00
42129,165.46,165.465,165.36,165.37,31547.0,2018-02-14 12:06:00
42130,165.36,165.38,165.29,165.335,39763.0,2018-02-14 12:07:00
42131,165.32,165.43,165.3,165.42,49197.0,2018-02-14 12:08:00
42132,165.43,165.51,165.42,165.44,59648.0,2018-02-14 12:09:00
42133,165.44,165.45,165.35,165.39,58114.0,2018-02-14 12:10:00
42134,165.4,165.48,165.35,165.3601,41751.0,2018-02-14 12:11:00
42135,165.36,165.39,165.31,165.37,33714.0,2018-02-14 12:12:00
42136,165.38,165.41,165.34099999999995,165.36,46115.0,2018-02-14 12:13:00
42137,165.37,165.4,165.34,165.39,32843.0,2018-02-14 12:14:00
42138,165.39,165.45,165.38,165.41,36885.0,2018-02-14 12:15:00
42139,165.43,165.45,165.33,165.36,36488.0,2018-02-14 12:16:00
42140,165.35,165.445,165.34,165.4199,42711.0,2018-02-14 12:17:00
42141,165.4171,165.43,165.28,165.28,46789.0,2018-02-14 12:18:00
42142,165.27,165.28,165.16,165.19,91653.0,2018-02-14 12:19:00
42143,165.2,165.23,165.03,165.05,79292.0,2018-02-14 12:20:00
42144,165.05,165.0699,164.95,164.9899,121733.0,2018-02-14 12:21:00
42145,164.99,165.12,164.96,165.09,47641.0,2018-02-14 12:22:00
42146,165.09,165.19,165.05,165.19,62886.0,2018-02-14 12:23:00
42147,165.1813,165.1813,165.08,165.115,34924.0,2018-02-14 12:24:00
42148,165.1,165.115,165.02,165.041,34617.0,2018-02-14 12:25:00
42149,165.043,165.19,165.02,165.1634,33382.0,2018-02-14 12:26:00
42150,165.16,165.23,165.15,165.199,44505.0,2018-02-14 12:27:00
42151,165.19,165.33,165.18,165.28,47987.0,2018-02-14 12:28:00
42152,165.2932,165.42,165.29,165.39,44304.0,2018-02-14 12:29:00
42153,165.37,165.3866,165.3,165.3062,25785.0,2018-02-14 12:30:00
42154,165.33900000000003,165.36,165.3,165.36,25415.0,2018-02-14 12:31:00
42155,165.36,165.39,165.3,165.36,45360.0,2018-02-14 12:32:00
42156,165.37,165.37900000000005,165.26,165.36,35341.0,2018-02-14 12:33:00
42157,165.36,165.41,165.3,165.3,37628.0,2018-02-14 12:34:00
42158,165.3099,165.38,165.28,165.38,18316.0,2018-02-14 12:35:00
42159,165.3602,165.6,165.3602,165.56,90500.0,2018-02-14 12:36:00
42160,165.55,165.59,165.48,165.5511,61230.0,2018-02-14 12:37:00
42161,165.56,165.6599,165.55,165.6599,65694.0,2018-02-14 12:38:00
42162,165.65,165.69,165.63,165.6398,41585.0,2018-02-14 12:39:00
42163,165.64,165.68,165.6,165.68,43803.0,2018-02-14 12:40:00
42164,165.68,165.71,165.66,165.68,53097.0,2018-02-14 12:41:00
42165,165.665,165.72,165.65,165.6501,45879.0,2018-02-14 12:42:00
42166,165.65,165.7,165.63,165.6351,27948.0,2018-02-14 12:43:00
42167,165.63,165.66,165.532,165.545,55436.0,2018-02-14 12:44:00
42168,165.54,165.56,165.47,165.48,54967.0,2018-02-14 12:45:00
42169,165.475,165.56,165.46,165.5359,33491.0,2018-02-14 12:46:00
42170,165.5348,165.6524,165.5348,165.6524,36807.0,2018-02-14 12:47:00
42171,165.65,165.67,165.49,165.5,74161.0,2018-02-14 12:48:00
42172,165.49,165.58,165.49,165.5712,26063.0,2018-02-14 12:49:00
42173,165.5861,165.59,165.49,165.49,39807.0,2018-02-14 12:50:00
42174,165.49,165.64,165.39,165.635,63259.0,2018-02-14 12:51:00
42175,165.62,165.65,165.57,165.58,37695.0,2018-02-14 12:52:00
42176,165.5849,165.63,165.58,165.5992,19132.0,2018-02-14 12:53:00
42177,165.59,165.68,165.59,165.66,35676.0,2018-02-14 12:54:00
42178,165.67,165.78,165.66,165.73,108304.0,2018-02-14 12:55:00
42179,165.73,165.79,165.67,165.79,46635.0,2018-02-14 12:56:00
42180,165.79,165.81,165.73,165.7701,45174.0,2018-02-14 12:57:00
42181,165.79,165.95,165.79,165.92,117101.0,2018-02-14 12:58:00
42182,165.9329,165.9754,165.8893,165.93,70697.0,2018-02-14 12:59:00
42183,165.93,165.93,165.87,165.9199,27774.0,2018-02-14 13:00:00
42184,165.91,165.92,165.84,165.84,42518.0,2018-02-14 13:01:00
42185,165.8599,166.0,165.855,165.99,93430.0,2018-02-14 13:02:00
42186,166.0,166.01,165.925,165.995,135847.0,2018-02-14 13:03:00
42187,165.9956,166.05,165.965,166.04,66512.0,2018-02-14 13:04:00
